이름,주소
춘천 VIP,강원특별자치도 춘천시 금강로13번길 21
시흥 H,경기도 시흥시 중심상가1길 9
신촌 S,서울 마포구 서강로 128 (노고산동)
구미 원평동 렉스,경상북도 구미시 금오시장로3길 13 (원평동)
부산 영도 Q,부산광역시 영도구 해양로 50
대구 경북대 로미오,대구광역시 북구 대현로 30 (대현동)
군포 리츠,경기도 군포시 봉성로5번길 8 (리츠모텔)
종로 누누,서울특별시 종로구 수표로22길 8
수유 르씨엘,서울특별시 강북구 도봉로85길 7-5
광주 신안동 러브스토리,광주광역시 북구 무등로218번길 38
군산 섬 호텔,전라북도 군산시 비응남로 38
충주 렉시,충청북도 충주시 상방7길 5
산본 MUL,경기도 군포시 산본로323번길 7 (금성프라자빌딩)
부산 학장 369,부산광역시 사상구 학감대로134번길 6 (학장동)
안양 SS(상상),경기 안양시 만안구 병목안로 12 (안양동)
화곡 테마,서울특별시 강서구 화곡로 176-16
안산 호텔 돔,경기도 안산시 단원구 고잔2길 87
부산 서면 투헤븐,부산광역시 부산진구 황령대로7번길 8 (범천동)
안양 3S 패션호텔,경기도 안양시 만안구 장내로143번길 5(안양동)
구리 C 호텔,경기도 구리시 안골로 95-2
의왕 HOTEL ON,경기도 의왕시 복지로 6
신림 페이지나인 호텔,서울 관악구 신림로66길 30 (신림동)
화곡 초콜릿,서울 강서구 강서로5가길 24 (화곡동)
익산 N파크텔,전북 익산시 배산로6길 29-1 (모현동1가)
하남 루시 호텔,경기도 하남시 하남대로776번길 14-30
인천(주안) 프로포즈,인천광역시 미추홀구 주안중로 45-1
부산 해운대 쇼,부산광역시 해운대구 구남로8번길 38
대전 유성 스파타워,대전광역시 유성구 온천로107번길 40
부천 자자,경기도 부천시 부천로29번길 22
신림 포도,서울특별시 관악구 신림로64길 16
수원역 라임 (Lime),경기 수원시 팔달구 향교로3번길 23-1
신촌 AVANI HOTEL&PLAY(호텔아바니),서울특별시 서대문구 연세로2길 50 (창천동)
울산 신정동 그랜드,울산광역시 남구 중앙로204번길 13
평택(안중) O2,경기도 평택시 안중읍 안현로서1길 12
장안 행복한눈물,서울 동대문구 장한로 97 (장안동)
안성 쇼,경기도 안성시 삼죽면 서동대로 6226-10
대구 경북대 에코(ECO),대구광역시 북구 대구체육관로 34
부산 온천장 큐브,부산광역시 동래구 차밭골로20번길 55 (온천동)
대전 유천 시애틀,대전광역시 중구 대둔산로494번길 15 (유천동)
전주 금암동 뷰티,전북 전주시 덕진구 용산3길 8 (금암동)
잠실 타임,서울특별시 송파구 올림픽로32길 4
아산 베르사체,충청남도 아산시 번영로69번길 21 (베르사체모텔)
울산 진하 짝,울산광역시 울주군 서생면 진하9길 16
성신여대역 호텔 월드스테이,서울특별시 성북구 동소문로18길 24-20 (동소문동5가)
대구 동천동 뉴오페라 (더케이),대구광역시 북구 동천로 138-6 (동천동)
신촌 아늑호텔 신촌점,서울특별시 서대문구 연세로2길 49 (창천동)
구미 원평동 펀,경상북도 구미시 송원서로4길 20
대구 성서 hotel the stay 낭만,대구광역시 달서구 호산동로 84-12
시흥 지앤미,경기도 시흥시 서촌상가4길 8-4
인천(석남동) 호텔 더 브라운,인천광역시 서구 칠천왕로 18
월곶 에비뉴 S,경기 시흥시 월곶중앙로58번길 30 (월곶동)
대전 용전 피아노,대전광역시 동구 동서대로1683번길 94-4
전주 금암동 스카이쇼1 무인텔,전라북도 전주시 덕진구 용산2길 11 (금암동)
수원(인계동) 리치호텔,경기도 수원시 팔달구 인계로166번길 48-12
인천(주안) 로지,인천광역시 미추홀구 주안중로 32
금정 호텔 초콜릿,경기도 군포시 군포로741번길 7
신촌 어반슬로우(URBANSLOW),서울특별시 마포구 서강로20길 9 (노고산동)
천안 스위트,충남 천안시 서북구 양지17길 5
양산 북부동 와,경상남도 양산시 북안남2길 6-6
부산 구서동 G&G,부산광역시 금정구 금정로 242 (구서동)
세종 자자무인텔,세종특별자치시 연동면 샘째길 16-11
춘천 LEO 호텔,강원도 춘천시 동면 춘천로 558
답십리 부티크 호텔 K,서울특별시 동대문구 천호대로 341
인천(부평) 라운지세븐,인천광역시 부평구 대정로82번길 18 (부평동)
신촌 앨리(Alley),서울특별시 서대문구 연세로2마길 20 (대현동)
수원역 25H,경기 수원시 팔달구 향교로3번길 50 (매산로1가)
전주 금암동 타임,전라북도 전주시 덕진구 용산1길 11 (금암동)
산본 스테이 온 호텔,경기도 군포시 산본로323번길 4-7
수원(인계동) 꿀,경기도 수원시 팔달구 효원로249번길 46-7
동해 본스테이,강원도 동해시 동굴로 125-4 (천곡동)
제부도(궁평항) 씨사이드,경기도 화성시 서신면 수문개길 97
파주 호텔 더 헤이리,경기도 파주시 탄현면 새오리로161번길 53-37
미아 황금,서울특별시 강북구 도봉로24길 19
의정부 퓨전,경기도 의정부시 평화로168번길 70
전주 중화산동 조아,전북 전주시 완산구 한두평4길 5-5
대전 유성 MAC,대전 유성구 온천북로 64 (봉명동)
경주 호텔 아델,경상북도 경주시 양정로261번길 6
구미 원평동 K1,경상북도 구미시 금오시장로7길 6-7 (원평동)
청주 에버그린,충청북도 청주시 흥덕구 월명로5번길 72-7 (복대동)
신천 플러스,서울특별시 송파구 올림픽로12길 5-25
부천(남부역) 카라,경기 부천시 경인로182번길 9 (심곡본동)
대전 유성 하루,대전광역시 유성구 온천동로65번길 42 (봉명동)
울산 삼산 더샵,울산 남구 삼신로 4 (삼산동)
대전 대흥 호텔 루오(LUO),대전 중구 인창로6번길 25 (대흥동)
구리 러쉬(LUSH),경기도 구리시 안골로57번길 17 (수택동)
부산 화명동 스카이,부산광역시 북구 금곡대로285번길 62 (화명동)
안양 코암호텔,경기 안양시 만안구 만안로 101 (안양동)
안산 아이비,경기도 안산시 단원구 선부광장로 91
수원시청역 로즈,경기도 수원시 권선구 권선로683번길 24-24
천안 자자 호텔,충청남도 천안시 서북구 성정공원5로 60 1-9층
울산 중구 팰리스,울산광역시 중구 새벽시장2길 40 (학성동)
신천 로즈마리,서울특별시 송파구 올림픽로12길 5-29 (로즈마리)
수원(시청역) 엑스아이(Xi),경기도 수원시 팔달구 권광로175번길 32
경주 보문 자라(ZARA),경상북도 경주시 보문로 465-20
춘천 S쁘띠,강원 춘천시 춘천로56번길 5
전주 산정동 호텔 샾(Hotel Sharp),전라북도 전주시 덕진구 산정3길 22
울산 일산 폼,울산광역시 동구 해수욕장1길 14(화정동)
제주 T무인텔,제주특별자치도 제주시 조천읍 남조로 2393
대구 두류 폭스(FOX),대구광역시 서구 서대구로 57-14
전주 금암동 블루원,전북 전주시 덕진구 용산2길 18 (금암동)
의왕 호텔 보보스,경기 의왕시 갈미안로 7
장흥 스위스 무인텔,전라남도 장흥군 장흥읍 동교2길 29
충주 A,충청북도 충주시 성서8길 6-1
신천 상주 호텔,서울 송파구 올림픽로8길 19 (잠실동)
평택 호텔 드살롱 평택역점,경기도 평택시 자유로14번길 9
춘천 리버사이드 코지,강원도 춘천시 강창골길 14 (삼천동)
신촌 메이저,서울 마포구 서강로18길 8 (노고산동)
안산(상록수) 초콜릿,경기도 안산시 상록구 석호로3안길 34
신촌 제이드,서울 서대문구 연세로2가길 12 (창천동)
부산 연산동 WABA,부산 연제구 거제천로230번길 88 (연산동)
선릉 프린스,서울 강남구 선릉로86길 43 (대치동)
부산 남포동 아리아,부산 중구 중앙대로41번길 23 (동광동2가)
의정부 S,경기도 의정부시 시민로122번길 9-25 (의정부동)
남양주 프라하,경기도 남양주시 늘을2로 26 (메인시네마타워)
인천(강화) MOTEL 917,인천광역시 강화군 내가면 해안서로 917
대전 대흥 호텔 루키,대전광역시 중구 대흥로158번길 25
대구 동대구역 리더스,대구광역시 동구 동부로26길 38 (신천동)
창원 상남동 리버스,경상남도 창원시 성산구 마디미로27번길 11 (상남동)
인천(부평) 버스,인천광역시 부평구 경원대로1367번길 18-12
광명(철산) 세인트,경기도 광명시 오리로854번길 12 (철산동)
인천(송도) 오투(O2),인천광역시 연수구 대암로8번길 8
대전 용전 아이,대전광역시 동구 한밭대로1316번길 11 (용전동)
대전 유성 체리,대전 유성구 온천북로 76
수원 영통 E,경기도 수원시 영통구 반달로35번길 21(영통동)
서천 휴,충청남도 서천군 서면 부사로 273
대구 성서 로그인,대구광역시 달서구 성서공단로11길 6-16
대전 유성 베르겐 호텔,대전광역시 유성구 온천북로 65-9 (봉명동)
부산 범일동 U,부산광역시 동구 자성공원로3번길 23-4
춘천 마임 호텔,강원도 춘천시 우묵길 79 (퇴계동)
인천(송도) 블루,인천광역시 연수구 능허대로179번길 14
김해 장유 W,경상남도 김해시 번화1로68번길 3 (대청동)
울산 삼산 팬,울산광역시 남구 삼산중로74번길 30-2
인천(석남동) TWOSOME(2S),인천광역시 서구 옻우물로14번길 2
청주 북문로 토론토 호텔,충청북도 청주시 상당구 중앙로 6-9
화곡 거기,서울특별시 강서구 강서로5가길 30 (화곡동)
수원 망포역 더 호텔,경기도 수원시 영통구 영통로112번길 18
대전 유천 노블레스,대전광역시 중구 대둔산로509번길 7
광주 신안동 호텔 프라임,광주광역시 북구 자미로6번길 36-1
잠실 HL HOTEL,서울특별시 송파구 오금로11길 23-12
회기 Q,서울특별시 동대문구 회기로31길 9
신림 M,서울특별시 관악구 남부순환로181길 6 (엠모텔)
안산 블루 9,경기도 안산시 상록구 석호로3길 10
가평(청평) 리버빌,경기도 가평군 설악면 유명로 2324
광주 신안동 쿡,광주 북구 중흥로 75 (신안동)
울산 영남알프스 더죤,울산광역시 울주군 상북면 알프스온천1길 28
목포 빅토리아,전라남도 목포시 하당남부로61번길 22
여수 다와,전라남도 여수시 공화북2길 13
울산 삼산 루이,울산광역시 남구 삼산로301번길 8-24
춘천 라임,강원도 춘천시 중앙로68번길 22-4
익산 올레 무인텔,전라북도 익산시 인북로4길 41
안면도 오슈,충남 태안군 남면 안면대로 1722-67
신촌 레츠,서울특별시 서대문구 신촌로 125-5 (창천동)
인천(송도) 리치,인천광역시 연수구 능허대로 124
사천 SHOW,경상남도 사천시 정동면 진삼로 1208-12
울산 일산 올레,울산광역시 동구 해수욕장7길 15
역삼 아드리게,서울특별시 강남구 테헤란로28길 3-6(역삼동)
원주 칸,강원도 원주시 관후길 5-9 (단구동)
파주 반지 무인텔,경기도 파주시 탄현면 필승로 487-31
인천(용현동) 써클,인천광역시 미추홀구 토금중로3번길 28 (써클호텔)
창원 상남동 호텔 드 메종(de MAISON),경상남도 창원시 성산구 마디미로56번길 6 (상남동)
